team_idx,offense_effect,defense_effect,offense_rate_ratio,defense_rate_ratio,team,offense_rank,defense_rank
0,0.12257716374101064,0.007159852983640723,1.1304063430910356,0.9928657176998931,ARI,8.0,18.0
1,-0.1159801188126385,-0.04274083543163927,0.8904929271782143,1.0436673781923789,ATL,26.0,3.0
2,-0.011083686215803978,0.003869225343615877,0.9889775115267232,0.9961382504637947,BAL,17.0,16.0
3,0.1504432268800823,0.05597514554860939,1.1623493130329303,0.9455626370389401,BUF,5.0,32.0
4,-0.17055563965564896,-0.0007689403790945331,0.8431961731786978,1.0007692360895375,CAR,29.0,13.0
5,-0.1314707986036273,-0.0067344354036061715,0.8768048786907694,1.0067571627035754,CHI,27.0,11.0
6,0.11334816041748134,0.002305426723856323,1.1200218123361336,0.9976972287312889,CIN,12.0,15.0
7,-0.05620774801214296,0.012922863255087194,0.9453427224174724,0.9871602784141071,CLE,20.0,23.0
8,0.20383048080287675,0.025264772975919312,1.226090289996724,0.9750517105043827,DAL,1.0,28.0
9,-0.06832035726345842,0.032025094741021574,0.9339612243844265,0.9684822779622967,DEN,21.0,30.0
10,-0.10667964587550054,-0.04012093260486586,0.898813565506932,1.0409366497615606,DET,25.0,5.0
11,0.11447829228081015,-0.0022813991161708845,1.12128830018822,1.0022840034872946,GB,11.0,12.0
12,-0.22221453472174754,-0.030708631072375904,0.800743558609634,1.0311850048415636,HOU,30.0,6.0
13,0.11874230996214308,0.008561797960844926,1.1260797013760777,0.9914747498519425,IND,9.0,21.0
14,-0.2644856841204475,-0.04096630896599583,0.7676006376671888,1.0418170050620534,JAX,31.0,4.0
15,0.19005855164515179,0.00824079221852289,1.2093204032834661,0.9917930700285812,KC,2.0,20.0
16,0.12554790885312536,0.008225580435413668,1.1337694852551476,0.991808157084402,LA,7.0,19.0
17,0.1537552487651077,-0.04330006285359566,1.166205421628809,1.044251188835911,LAC,4.0,2.0
18,-0.031333840150534246,-0.02345493946153843,0.9691519772224206,1.0237321697844832,LV,18.0,7.0
19,-0.08785869814281175,0.008810384028615666,0.9158902845785168,0.9912283136741521,MIA,23.0,22.0
20,0.05051868050465066,-0.011695019782065195,1.05181651163472,1.0117636739019753,MIN,15.0,9.0
21,0.13239333120139882,0.04524305007976911,1.141557241055064,0.9557651548035765,NE,6.0,31.0
22,-0.053294725759908707,0.03106578171141189,0.9481005416480871,0.9694118014111847,NO,19.0,29.0
23,-0.2650090283222254,-0.008190890288475043,0.7671990234245937,1.0082245274069281,NYG,32.0,10.0
24,-0.14108983543825918,-0.05349982699251292,0.8684112940841539,1.0549568092521489,NYJ,28.0,1.0
25,0.11609618641007688,0.0013986236960373789,1.123103894269774,0.9986023539222577,PHI,10.0,14.0
26,-0.10232863439552163,0.004859060135210226,0.9027328338565359,0.9951527259999148,PIT,24.0,17.0
27,0.002411372371911432,0.015803152509077288,1.0024142820685868,0.9843210621171803,SEA,16.0,24.0
28,0.07059942336518907,0.016876327772625058,1.0731512604365052,0.9832652797230308,SF,13.0,26.0
29,0.17645042531762672,0.016828919936854064,1.1929752839228365,0.9833118953068944,TB,3.0,25.0
30,0.06662167127641361,0.019614527859316295,1.0688910094970894,0.9805765854202664,TEN,14.0,27.0
31,-0.07995945830478095,-0.020588157563513065,0.9231537718468434,1.0208015556545766,WAS,22.0,8.0
